,p_0,p_1,p_2,p_3,p_4,p_5,p_6
211,0.04161772,0.04963178,0.0206425,0.059925716,0.03448096,0.028710581,0.056227032
212,0.039147638,0.06057945,0.017635506,0.07255154,0.027158048,0.028643757,0.048059456
213,0.062792264,0.11124231,0.020443216,0.12325655,0.028499058,0.025241304,0.052447457
214,0.03949952,0.0638023,0.015846098,0.07886419,0.022176782,0.021905923,0.04299052
215,0.025321094,0.046377562,0.015167374,0.06679227,0.022991564,0.024698218,0.043982398
216,0.035275843,0.043595638,0.020121971,0.063152894,0.037086595,0.02913777,0.05977901
217,0.06729868,0.06631621,0.037489474,0.09059249,0.057738528,0.050018035,0.08149664
218,0.043909002,0.053856753,0.026130196,0.07935814,0.03427717,0.03773772,0.056607436
219,0.1741735,0.23291707,0.046803508,0.20625985,0.056076467,0.04010309,0.08424912
220,0.050056398,0.07646842,0.022409124,0.09443943,0.029356798,0.02973032,0.05013091
221,0.04366355,0.0653214,0.02961725,0.090268366,0.039697666,0.034108255,0.06770186
222,0.022166552,0.03892151,0.013624417,0.062422134,0.021436434,0.02243242,0.042098753
223,0.017822552,0.039976247,0.0139056025,0.06895443,0.02115661,0.023202991,0.042568598
224,0.013132563,0.029457076,0.009091509,0.052991908,0.016409643,0.018970853,0.03496131
225,0.016828574,0.036025856,0.01155821,0.06350682,0.0211641,0.022460958,0.04237022
226,0.016585935,0.031372044,0.01208923,0.057357438,0.01994397,0.021540098,0.040980864
227,0.014201642,0.03072107,0.010034599,0.051087845,0.017943585,0.019553779,0.036811348
228,0.018879583,0.036608513,0.013094599,0.05856066,0.02419309,0.022603834,0.046218514
229,0.022063231,0.042228222,0.015409749,0.06668819,0.026905881,0.02406638,0.05039707
230,0.018073682,0.036553722,0.0121772755,0.058206737,0.023212759,0.022170704,0.044339575
231,0.015832257,0.03390431,0.011273995,0.057119824,0.020945404,0.021715978,0.041440528
232,0.015646411,0.03310419,0.011223993,0.05649549,0.018246833,0.02147563,0.03797119
233,0.015954075,0.03533974,0.011387695,0.057462253,0.017357932,0.020815987,0.036604427
234,0.015470713,0.034893595,0.009728715,0.057712577,0.014801615,0.019967966,0.03261677
235,0.018362708,0.041553717,0.013107143,0.070374414,0.019619215,0.02424805,0.04113449
236,0.01616344,0.038026538,0.0118549345,0.06476863,0.017765963,0.021769516,0.03783037
237,0.016675163,0.037608106,0.011638713,0.060884096,0.018225003,0.021658575,0.038376022
238,0.018779505,0.03994866,0.012596782,0.063391864,0.019228049,0.022832824,0.03964001
239,0.021778617,0.036172125,0.014870857,0.058899924,0.023791617,0.023717092,0.045602225
240,0.02472069,0.038442295,0.015568388,0.0581201,0.024834163,0.023366624,0.046972454
241,0.016686361,0.0351764,0.012347366,0.06947804,0.017070318,0.02763596,0.036612064
242,0.033048853,0.05307057,0.021502191,0.07493953,0.030819872,0.031602833,0.0550547
243,0.014307647,0.034828354,0.009629459,0.061626896,0.014433534,0.0199954,0.032450628
244,0.02196916,0.029660113,0.0138400225,0.059506908,0.020882241,0.021208545,0.042225502
245,0.021501644,0.026229354,0.013109384,0.0508994,0.01632274,0.018758964,0.03591744
246,0.018620582,0.033911545,0.0136455735,0.06332169,0.01969189,0.022784077,0.041908424
247,0.018572304,0.042572536,0.014134382,0.07292271,0.02073127,0.024344174,0.042723592
248,0.01698484,0.039508224,0.012284922,0.06460947,0.01812195,0.022258664,0.03838878
249,0.01763274,0.038744126,0.012116979,0.061288293,0.020463675,0.021783585,0.040959585
250,0.026903728,0.048562977,0.016722303,0.06876595,0.026489858,0.024918063,0.049137495
251,0.017955529,0.03571686,0.011748447,0.05941074,0.016499145,0.01986665,0.035353623
252,0.015953237,0.032859284,0.011414717,0.063929684,0.017973641,0.022716582,0.037364077
253,0.03179306,0.05154686,0.020710135,0.07159234,0.033103302,0.029107645,0.05784673
254,0.015216743,0.034733962,0.011531399,0.063670464,0.018074632,0.021273594,0.038364276
255,0.015747631,0.036267843,0.011931915,0.062464338,0.018995516,0.021566402,0.039441667
256,0.017142925,0.032353714,0.011441264,0.056280915,0.016959494,0.020431107,0.03516368
257,0.29709485,0.31483784,0.080760926,0.25163168,0.067169644,0.052493203,0.1039892
258,0.051082782,0.062030546,0.02711987,0.08826469,0.043449085,0.04099309,0.067526445
259,0.039422043,0.053777087,0.021047002,0.069074675,0.034239255,0.030462602,0.056921136
