,index,p_0,p_1,p_2,p_3,p_4,p_5,p_6
164,2664,0.09130022,0.064040445,0.04549364,0.08578632,0.05768818,0.04981423,0.08371141
165,2665,0.12353052,0.12589595,0.041795436,0.12977022,0.050660536,0.038909744,0.07638062
166,2666,0.16551998,0.16428064,0.0514734,0.15686329,0.056673914,0.04518246,0.084083304
167,2667,0.28522146,0.31864673,0.078510515,0.26477507,0.071552224,0.051147114,0.10682367
168,2668,0.12868464,0.17109346,0.040637128,0.16750763,0.05842902,0.042440955,0.08387921
169,2669,0.15404801,0.193309,0.045312874,0.1762461,0.046339564,0.036629878,0.07583217
170,2670,0.1052291,0.122990794,0.036430337,0.13073213,0.05370948,0.042363156,0.077212505
171,2671,0.15068527,0.16212656,0.04794419,0.14620498,0.057978246,0.045223504,0.08282182
172,2672,0.075283356,0.092389,0.029642599,0.10688634,0.04202622,0.036949404,0.06504434
173,2673,0.06955822,0.09726603,0.029915623,0.12045047,0.042380918,0.038558368,0.06782629
174,2674,0.22550936,0.24406944,0.06572853,0.21072249,0.061466157,0.049826905,0.094126545
175,2675,0.119414516,0.14153904,0.04373921,0.15148607,0.05457459,0.04330984,0.0803082
176,2676,0.0998206,0.1153144,0.039855514,0.13414061,0.047900822,0.04228836,0.07410161
177,2677,0.037714347,0.05280275,0.022352539,0.07986549,0.03473358,0.037018064,0.057744555
178,2678,0.0640843,0.08003204,0.030334996,0.10992661,0.04471314,0.03982941,0.06863937
179,2679,0.038779587,0.055817362,0.01989084,0.079229675,0.030753333,0.027102955,0.05135537
180,2680,0.03924451,0.057459187,0.019823514,0.07524507,0.028002696,0.028449066,0.049122825
181,2681,0.06685824,0.06796162,0.03606687,0.08546188,0.04280254,0.0395582,0.0662972
182,2682,0.109437086,0.13043422,0.038938418,0.14546981,0.043608584,0.038180556,0.0709089
183,2683,0.19655746,0.17115618,0.05138819,0.14129339,0.048174176,0.038819544,0.07468877
184,2684,0.042914193,0.053210493,0.027329886,0.0816485,0.04742461,0.04230682,0.072567634
185,2685,0.063214354,0.09218754,0.025307024,0.108526185,0.034222882,0.03149783,0.05751355
186,2686,0.059737027,0.09760041,0.025573,0.11687856,0.040128633,0.0367494,0.063362665
187,2687,0.09574702,0.092343815,0.042276703,0.10487983,0.049346033,0.046238203,0.07562981
188,2688,0.077248946,0.08724246,0.029491512,0.09580744,0.037498534,0.0348035,0.05981212
189,2689,0.07851137,0.08180504,0.03611434,0.09495335,0.048766136,0.04255454,0.073092826
190,2690,0.09364099,0.12982787,0.038027126,0.15280558,0.0477405,0.042588472,0.076425634
191,2691,0.099281006,0.11693746,0.036895324,0.13296993,0.04435412,0.039894637,0.06975232
192,2692,0.0721182,0.07971528,0.030043446,0.0953568,0.035499528,0.036961537,0.058622476
193,2693,0.15299486,0.23694587,0.038381767,0.21185365,0.045999836,0.034109507,0.07584731
